Database	Sample	Frac_unclassified	Count_unclassified
HUMAN_REPS-3113	ERR1562591_1_kneaddata_paired.out	 62.65	3502271
HUMAN_REPS-3113	ERR1562592_1_kneaddata_paired.out	 61.47	3557234
HUMAN_REPS-3113	ERR1614693_1_kneaddata_paired.out	 74.86	2656277
HUMAN_REPS-3113	ERR1614694_1_kneaddata_paired.out	 75.22	2602287
HUMAN_REPS-3113	ERR1614695_1_kneaddata_paired.out	 75.19	2570007
HUMAN_REPS-3113	ERR1614696_1_kneaddata_paired.out	 75.07	2642471
HUMAN_REPS-3113	ERR1614697_1_kneaddata_paired.out	 75.43	2545422
HUMAN_REPS-3113	ERR1614698_1_kneaddata_paired.out	 74.98	2651798
HUMAN_REPS-3113	ERR1614699_1_kneaddata_paired.out	 75.26	2601671
HUMAN_REPS-3113	ERR1614700_1_kneaddata_paired.out	 75.52	1214772
HUMAN_REPS-3113	ERR1614701_1_kneaddata_paired.out	 71.62	2314665
HUMAN_REPS-3113	ERR1614702_1_kneaddata_paired.out	 72.18	2199119
HUMAN_REPS-3113	ERR1614703_1_kneaddata_paired.out	 71.74	2301530
HUMAN_REPS-3113	ERR1614704_1_kneaddata_paired.out	 72.17	2230031
HUMAN_REPS-3113	ERR1614705_1_kneaddata_paired.out	 71.89	2279805
HUMAN_REPS-3113	ERR1614706_1_kneaddata_paired.out	 72.10	2285087
HUMAN_REPS-3113	ERR1614707_1_kneaddata_paired.out	 72.46	689989
HUMAN_REPS-3113	ERR1614708_1_kneaddata_paired.out	 76.90	1733516
HUMAN_REPS-3113	ERR1614709_1_kneaddata_paired.out	 76.35	1896038
HUMAN_REPS-3113	ERR1614710_1_kneaddata_paired.out	 76.70	1816276
HUMAN_REPS-3113	ERR1614712_1_kneaddata_paired.out	 76.43	1928082
HUMAN_REPS-3113	ERR1614713_1_kneaddata_paired.out	 75.99	2160353
HUMAN_REPS-3113	ERR1614715_1_kneaddata_paired.out	 75.78	423490
HUMAN_REPS-3113	ERR1614716_1_kneaddata_paired.out	 73.65	1783570
HUMAN_REPS-3113	ERR1614718_1_kneaddata_paired.out	 73.66	1686740
HUMAN_REPS-3113	ERR1614719_1_kneaddata_paired.out	 73.33	1875708
HUMAN_REPS-3113	ERR1614721_1_kneaddata_paired.out	 73.05	2032313
