Sample	Species	Taxonomy_ID	Taxonomy_level	Kraken_initial	Added_reads	Species_read_count	Species_read_fraction
DRR121530_1_kneaddata_paired	Firmicutes	12188	P	1731961	5342	1737303	0.90397
DRR121530_1_kneaddata_paired	Actinobacteriota	615	P	85208	425	85633	0.04456
DRR121530_1_kneaddata_paired	Firmicutes_A	14608	P	55247	131	55378	0.02882
DRR121530_1_kneaddata_paired	Bacteroidota	4587	P	24690	46	24736	0.01287
DRR121530_1_kneaddata_paired	Verrucomicrobiota	33333	P	9003	31	9034	0.00470
DRR121530_1_kneaddata_paired	Proteobacteria	22518	P	8982	3	8985	0.00468
DRR121530_1_kneaddata_paired	Cyanobacteria	9876	P	468	1	469	0.00024
DRR121530_1_kneaddata_paired	Campylobacterota	8700	P	233	0	233	0.00012
DRR121530_1_kneaddata_paired	Desulfobacterota_A	11509	P	44	0	44	0.00002
DRR121530_1_kneaddata_paired	Spirochaetota	32587	P	19	0	19	0.00001
DRR121530_1_kneaddata_paired	Firmicutes_I	18140	P	15	0	15	0.00001
DRR121530_1_kneaddata_paired	Deferribacterota	10822	P	8	0	8	0.00000
DRR121530_1_kneaddata_paired	Firmicutes_C	17613	P	4	0	4	0.00000
DRR121530_1_kneaddata_paired	Firmicutes_B	17289	P	2	0	2	0.00000
DRR121531_1_kneaddata_paired	Firmicutes	12188	P	2044291	6398	2050689	0.88579
DRR121531_1_kneaddata_paired	Actinobacteriota	615	P	139242	691	139933	0.06044
DRR121531_1_kneaddata_paired	Firmicutes_A	14608	P	67539	161	67700	0.02924
DRR121531_1_kneaddata_paired	Bacteroidota	4587	P	31822	60	31882	0.01377
DRR121531_1_kneaddata_paired	Verrucomicrobiota	33333	P	12468	45	12513	0.00541
DRR121531_1_kneaddata_paired	Proteobacteria	22518	P	11325	4	11329	0.00489
DRR121531_1_kneaddata_paired	Cyanobacteria	9876	P	585	2	587	0.00025
DRR121531_1_kneaddata_paired	Campylobacterota	8700	P	299	0	299	0.00013
DRR121531_1_kneaddata_paired	Desulfobacterota_A	11509	P	91	0	91	0.00004
DRR121531_1_kneaddata_paired	Firmicutes_I	18140	P	23	0	23	0.00001
DRR121531_1_kneaddata_paired	Spirochaetota	32587	P	16	0	16	0.00001
DRR121531_1_kneaddata_paired	Deferribacterota	10822	P	14	0	14	0.00001
DRR121531_1_kneaddata_paired	Firmicutes_B	17289	P	7	0	7	0.00000
DRR121531_1_kneaddata_paired	Firmicutes_C	17613	P	7	0	7	0.00000
DRR121531_1_kneaddata_paired	Thermotogota	33086	P	2	0	2	0.00000
DRR121532_1_kneaddata_paired	Firmicutes	12188	P	2047917	6194	2054111	0.90852
DRR121532_1_kneaddata_paired	Actinobacteriota	615	P	89706	448	90154	0.03987
DRR121532_1_kneaddata_paired	Firmicutes_A	14608	P	65199	152	65351	0.02890
DRR121532_1_kneaddata_paired	Bacteroidota	4587	P	29084	54	29138	0.01289
DRR121532_1_kneaddata_paired	Proteobacteria	22518	P	10878	4	10882	0.00481
DRR121532_1_kneaddata_paired	Verrucomicrobiota	33333	P	10372	35	10407	0.00460
DRR121532_1_kneaddata_paired	Cyanobacteria	9876	P	491	2	493	0.00022
DRR121532_1_kneaddata_paired	Campylobacterota	8700	P	267	0	267	0.00012
DRR121532_1_kneaddata_paired	Desulfobacterota_A	11509	P	76	0	76	0.00003
DRR121532_1_kneaddata_paired	Firmicutes_I	18140	P	23	0	23	0.00001
DRR121532_1_kneaddata_paired	Spirochaetota	32587	P	22	0	22	0.00001
DRR121532_1_kneaddata_paired	Deferribacterota	10822	P	10	0	10	0.00000
DRR121532_1_kneaddata_paired	Firmicutes_B	17289	P	2	0	2	0.00000
DRR121532_1_kneaddata_paired	Firmicutes_C	17613	P	1	0	1	0.00000
DRR121533_1_kneaddata_paired	Firmicutes	12188	P	1778263	4581	1782844	0.88316
DRR121533_1_kneaddata_paired	Actinobacteriota	615	P	92302	434	92736	0.04594
DRR121533_1_kneaddata_paired	Firmicutes_A	14608	P	80400	151	80551	0.03990
DRR121533_1_kneaddata_paired	Bacteroidota	4587	P	43302	68	43370	0.02148
DRR121533_1_kneaddata_paired	Proteobacteria	22518	P	11377	3	11380	0.00564
DRR121533_1_kneaddata_paired	Verrucomicrobiota	33333	P	7036	20	7056	0.00350
DRR121533_1_kneaddata_paired	Cyanobacteria	9876	P	481	1	482	0.00024
DRR121533_1_kneaddata_paired	Campylobacterota	8700	P	129	0	129	0.00006
DRR121533_1_kneaddata_paired	Desulfobacterota_A	11509	P	102	0	102	0.00005
DRR121533_1_kneaddata_paired	Spirochaetota	32587	P	27	0	27	0.00001
DRR121533_1_kneaddata_paired	Firmicutes_I	18140	P	11	0	11	0.00001
DRR121533_1_kneaddata_paired	Deferribacterota	10822	P	8	0	8	0.00000
DRR121533_1_kneaddata_paired	Firmicutes_B	17289	P	6	0	6	0.00000
DRR121533_1_kneaddata_paired	Firmicutes_C	17613	P	5	0	5	0.00000
DRR121533_1_kneaddata_paired	Thermotogota	33086	P	2	0	2	0.00000
DRR121534_1_kneaddata_paired	Firmicutes	12188	P	1966723	5125	1971848	0.87457
DRR121534_1_kneaddata_paired	Actinobacteriota	615	P	118225	555	118780	0.05268
DRR121534_1_kneaddata_paired	Firmicutes_A	14608	P	91081	175	91256	0.04047
DRR121534_1_kneaddata_paired	Bacteroidota	4587	P	50033	78	50111	0.02223
DRR121534_1_kneaddata_paired	Proteobacteria	22518	P	13110	4	13114	0.00582
DRR121534_1_kneaddata_paired	Verrucomicrobiota	33333	P	8596	24	8620	0.00382
DRR121534_1_kneaddata_paired	Cyanobacteria	9876	P	599	1	600	0.00027
DRR121534_1_kneaddata_paired	Campylobacterota	8700	P	132	0	132	0.00006
DRR121534_1_kneaddata_paired	Desulfobacterota_A	11509	P	105	0	105	0.00005
DRR121534_1_kneaddata_paired	Spirochaetota	32587	P	35	0	35	0.00002
DRR121534_1_kneaddata_paired	Firmicutes_I	18140	P	17	0	17	0.00001
DRR121534_1_kneaddata_paired	Deferribacterota	10822	P	11	0	11	0.00000
DRR121534_1_kneaddata_paired	Firmicutes_B	17289	P	8	0	8	0.00000
DRR121534_1_kneaddata_paired	Firmicutes_C	17613	P	5	0	5	0.00000
DRR121534_1_kneaddata_paired	Thermotogota	33086	P	3	0	3	0.00000
DRR121535_1_kneaddata_paired	Firmicutes	12188	P	1411845	3740	1415585	0.88989
DRR121535_1_kneaddata_paired	Firmicutes_A	14608	P	63713	125	63838	0.04013
DRR121535_1_kneaddata_paired	Actinobacteriota	615	P	62349	306	62655	0.03939
DRR121535_1_kneaddata_paired	Bacteroidota	4587	P	33759	54	33813	0.02126
DRR121535_1_kneaddata_paired	Proteobacteria	22518	P	8892	3	8895	0.00559
DRR121535_1_kneaddata_paired	Verrucomicrobiota	33333	P	5293	15	5308	0.00334
DRR121535_1_kneaddata_paired	Cyanobacteria	9876	P	394	1	395	0.00025
DRR121535_1_kneaddata_paired	Campylobacterota	8700	P	123	0	123	0.00008
DRR121535_1_kneaddata_paired	Desulfobacterota_A	11509	P	72	0	72	0.00005
DRR121535_1_kneaddata_paired	Spirochaetota	32587	P	27	0	27	0.00002
DRR121535_1_kneaddata_paired	Deferribacterota	10822	P	15	0	15	0.00001
DRR121535_1_kneaddata_paired	Firmicutes_I	18140	P	12	0	12	0.00001
DRR121535_1_kneaddata_paired	Firmicutes_B	17289	P	8	0	8	0.00001
DRR121535_1_kneaddata_paired	Firmicutes_C	17613	P	1	0	1	0.00000
DRR121535_1_kneaddata_paired	Thermotogota	33086	P	1	0	1	0.00000
DRR121536_1_kneaddata_paired	Firmicutes	12188	P	1956057	6800	1962857	0.89443
DRR121536_1_kneaddata_paired	Bacteroidota	4587	P	93048	183	93231	0.04248
DRR121536_1_kneaddata_paired	Actinobacteriota	615	P	79015	329	79344	0.03616
DRR121536_1_kneaddata_paired	Firmicutes_A	14608	P	25345	81	25426	0.01159
DRR121536_1_kneaddata_paired	Verrucomicrobiota	33333	P	21388	84	21472	0.00978
DRR121536_1_kneaddata_paired	Proteobacteria	22518	P	11598	5	11603	0.00529
DRR121536_1_kneaddata_paired	Cyanobacteria	9876	P	401	2	403	0.00018
DRR121536_1_kneaddata_paired	Campylobacterota	8700	P	103	0	103	0.00005
